Unnamed: 0,Floor No,Units Available,Covered Area,Carpet Area,Sqft Price,Total Amenities,Area Difference (%),Floors,Price_Millions,Possession Status,Flooring Type,Society,Furnished Type,Facing,Transaction Type,Type of Property,City,Bathroom,Parking,Bedroom,Balconies,Ownership Type
0,5,1,635,375,4960,90,40,14,3.1496,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,2,Freehold
1,20,10,579,579,10880,90,0,34,6.29952,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
2,18,0,850,585,6352,90,31,18,5.3992,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,0,Freehold
3,5,70,1050,815,8571,90,22,27,8.99955,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,3,Freehold
4,8,1,561,419,8824,89,25,26,4.950264,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
5,16,2,1067,667,6157,90,37,18,6.569519,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
6,1,4,725,550,7586,90,24,7,5.49985,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Co-operative Society
7,4,1,650,585,6462,90,10,8,4.2003,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,1,1,1,2,Freehold
8,16,15,592,370,5826,90,37,22,3.448992,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Freehold
9,5,0,644,430,7764,16,33,7,5.000016,Ready to Move,Vitrified,N,Unfurnished,West,Resale,Apartment,Thane,1,1,1,1,Freehold
10,10,25,550,370,5436,90,32,30,2.9898,Under Construction,Vitrified,Y,Furnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
11,10,25,850,570,7618,90,32,30,6.4753,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,2,1,2,3,Freehold
12,9,0,595,454,8235,89,23,19,4.899825,Ready to Move,Vitrified,N,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Co-operative Society
13,2,1,595,450,3676,7,24,3,2.18722,Ready to Move,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Freehold
14,16,0,695,462,6763,89,33,18,4.700285,Ready to Move,Vitrified,N,Unfurnished,North - West,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
15,9,10,1211,980,10450000,90,19,26,10.45,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,3,3,Freehold
16,18,0,1350,927,8889,90,31,36,12.00015,Under Construction,Vitrified,N,Unfurnished,East,New Property,Apartment,Thane,3,1,3,3,Power Of Attorney
17,9,3,960,650,7608,89,32,23,7.30368,Under Construction,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,2,2,Freehold
18,9,7,1010,761,6930,90,24,15,6.9993,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,2,Freehold
19,4,1,711,460,6751,89,35,21,4.799961,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,1,1,Freehold
20,20,50,1000,661,9500,90,33,38,9.5,Under Construction,Ceramic Tiles,Y,Semi-Furnished,North - West,New Property,Apartment,Thane,2,1,2,1,Freehold
21,18,10,709,709,12415,90,0,27,8.802235,Under Construction,Ceramic Tiles,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,2,Freehold
22,5,2,675,450,6666,89,33,21,4.49955,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
23,18,23,590,367,7288,90,37,33,4.29992,Under Construction,Vitrified,N,Unfurnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
24,11,79,482,390,3950000,10,19,29,3.95,Under Construction,Vitrified,Y,Furnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
25,21,0,645,467,5581,90,27,30,3.599745,Ready to Move,Vitrified,Y,Semi-Furnished,North - East,New Property,Apartment,Thane,2,1,1,2,Freehold
26,5,0,650,460,5508,89,29,7,3.5802,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,1,1,1,2,Freehold
27,7,2,2160,1385,6850,89,35,36,14.796,Under Construction,Granite,Y,Unfurnished,East,New Property,Apartment,Thane,3,1,3,4,Freehold
28,3,12,854,505,5035,90,40,14,4.29989,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,2,Freehold
29,10,12,384,384,10899,90,0,23,4.185216,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,2,Freehold
30,16,2,1067,667,6157,90,37,18,6.569519,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
31,1,4,725,550,7586,90,24,7,5.49985,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Co-operative Society
32,4,1,650,585,6462,90,10,8,4.2003,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,1,1,1,2,Freehold
33,16,15,592,370,5826,90,37,22,3.448992,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Freehold
34,5,0,644,430,7764,16,33,7,5.000016,Ready to Move,Vitrified,N,Unfurnished,West,Resale,Apartment,Thane,1,1,1,1,Freehold
35,10,25,550,370,5436,90,32,30,2.9898,Under Construction,Vitrified,Y,Furnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
36,10,25,850,570,7618,90,32,30,6.4753,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,2,1,2,3,Freehold
37,9,0,595,454,8235,89,23,19,4.899825,Ready to Move,Vitrified,N,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Co-operative Society
38,2,1,595,450,3676,7,24,3,2.18722,Ready to Move,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Freehold
39,16,0,695,462,6763,89,33,18,4.700285,Ready to Move,Vitrified,N,Unfurnished,North - West,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
40,9,10,1211,980,10450000,90,19,26,10.45,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,3,3,Freehold
41,18,0,1350,927,8889,90,31,36,12.00015,Under Construction,Vitrified,N,Unfurnished,East,New Property,Apartment,Thane,3,1,3,3,Power Of Attorney
42,9,3,960,650,7608,89,32,23,7.30368,Under Construction,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,2,2,Freehold
43,9,7,1010,761,6930,90,24,15,6.9993,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,2,Freehold
44,4,1,711,460,6751,89,35,21,4.799961,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,2,1,1,1,Freehold
45,20,50,1000,661,9500,90,33,38,9.5,Under Construction,Ceramic Tiles,Y,Semi-Furnished,North - West,New Property,Apartment,Thane,2,1,2,1,Freehold
46,18,10,709,709,12415,90,0,27,8.802235,Under Construction,Ceramic Tiles,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,2,Freehold
47,5,2,675,450,6666,89,33,21,4.49955,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
48,18,23,590,367,7288,90,37,33,4.29992,Under Construction,Vitrified,N,Unfurnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
49,11,79,482,390,3950000,10,19,29,3.95,Under Construction,Vitrified,Y,Furnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
50,21,0,645,467,5581,90,27,30,3.599745,Ready to Move,Vitrified,Y,Semi-Furnished,North - East,New Property,Apartment,Thane,2,1,1,2,Freehold
51,5,0,650,460,5508,89,29,7,3.5802,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,1,1,1,2,Freehold
52,7,2,2160,1385,6850,89,35,36,14.796,Under Construction,Granite,Y,Unfurnished,East,New Property,Apartment,Thane,3,1,3,4,Freehold
53,3,12,854,505,5035,90,40,14,4.29989,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,2,Freehold
54,10,12,384,384,10899,90,0,23,4.185216,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,2,Freehold
55,3,0,675,515,3556,0,23,3,2.4003,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
56,3,0,605,461,3306,90,23,3,2.00013,Ready to Move,Ceramic Tiles,Y,Unfurnished,East,Resale,Apartment,Thane,1,1,1,3,Freehold
57,3,0,620,473,4032,0,23,3,2.49984,Ready to Move,Vitrified,Y,Furnished,Unknown,Resale,Residential House,Thane,2,0,2,1,Freehold
58,1,0,785,599,5096,0,23,4,4.00036,Under Construction,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,1,0,Freehold
59,12,1,711,542,7032,0,23,21,4.999752,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,1,2,Freehold
60,9,1,675,515,14074,0,23,21,9.49995,Under Construction,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
61,7,0,870,600,6897,5,31,7,6.00039,Ready to Move,Marble,N,Semi-Furnished,South - East,Resale,Apartment,Thane,2,0,2,3,Freehold
62,4,0,580,442,6897,0,23,15,4.00026,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
63,2,0,780,595,4359,0,23,5,3.40002,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,2,Freehold
64,6,0,615,469,6992,5,23,7,4.30008,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,1,0,1,1,Co-operative Society
65,12,0,1200,916,5833,0,23,13,6.9996,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Apartment,Thane,2,0,2,0,Freehold
66,2,0,445,339,7865,0,23,6,3.499925,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
67,4,0,650,496,4615,0,23,7,2.99975,Under Construction,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,2,Freehold
68,1,60,671,512,6110,0,23,7,4.09981,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Apartment,Thane,1,0,1,2,Freehold
69,20,0,1085,828,8295,0,23,32,9.000075,Under Construction,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,0,Freehold
70,11,1,689,633,11901,0,8,25,8.199789,Under Construction,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,1,1,Freehold
71,5,0,545,416,8257,0,23,8,4.500065,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,1,1,Freehold
72,4,0,805,614,6957,0,23,7,5.600385,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Residential House,Thane,2,0,2,0,Freehold
73,2,1,603,392,4644,0,34,4,2.800332,Ready to Move,Vitrified,Y,Unfurnished,Unknown,New Property,Apartment,Thane,1,0,1,2,Freehold
74,21,2,615,469,5691,0,23,22,3.499965,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
75,11,0,970,740,7216,0,23,19,6.99952,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Apartment,Thane,2,0,2,2,Freehold
76,8,0,660,503,5909,0,23,11,3.89994,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,0,Freehold
77,7,0,765,584,5882,0,23,14,4.49973,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,1,1,Freehold
78,7,45,571,436,9632,0,23,8,5.499872,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,3,Freehold
79,7,0,750,572,8000,0,23,8,6.0,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
80,9,45,501,363,6986,0,27,9,3.499986,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,1,3,Freehold
81,4,0,1044,797,7471,0,23,12,7.799724,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,3,1,Freehold
82,3,1,608,464,5757,0,23,5,3.500256,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
83,7,0,750,493,4933,0,34,14,3.69975,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
84,1,1,603,460,5307,0,23,4,3.200121,Ready to Move,Vitrified,Y,Unfurnished,Unknown,New Property,Apartment,Thane,1,0,1,2,Freehold
85,11,79,520,421,4499000,0,19,11,4.499,Under Construction,Vitrified,N,Unfurnished,Unknown,New Property,Apartment,Thane,2,0,1,1,Freehold
86,1,2,640,488,6719,0,23,22,4.30016,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
87,1,0,585,455,5900,0,22,15,3.4515,Ready to Move,Vitrified,Y,Semi-Furnished,Unknown,New Property,Apartment,Thane,2,0,1,1,Freehold
88,5,0,624,476,6490,0,23,7,4.04976,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,1,0,1,1,Freehold
89,17,0,980,685,7551,12,30,19,7.39998,Ready to Move,Vitrified,N,Semi-Furnished,West,Resale,Apartment,Thane,2,0,2,1,Freehold
90,1,0,1080,709,4444,89,34,27,4.79952,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,1,Co-operative Society
91,15,1,569,461,4700000,90,19,26,4.7,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,1,1,1,1,Freehold
92,3,2,1332,853,6006,89,35,29,7.999992,Ready to Move,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,3,1,3,1,Freehold
93,4,0,835,637,5629,0,23,6,4.700215,Ready to Move,Vitrified,N,Unfurnished,West,Resale,Apartment,Thane,2,0,2,3,Freehold
94,7,0,645,492,4961,0,23,8,3.199845,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,0,Freehold
95,1,0,325,248,5231,0,23,4,1.700075,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
96,5,0,2900,2115,8690,89,27,7,25.201,Ready to Move,Vitrified,N,Furnished,East,Resale,Apartment,Thane,3,1,5,1,Co-operative Society
97,5,0,418,319,10048,0,23,7,4.200064,Ready to Move,Granite,N,Unfurnished,South -West,Resale,Apartment,Thane,1,0,1,3,Freehold
98,1,0,590,450,7119,0,23,5,4.20021,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Builder Floor Apartment,Thane,1,0,1,1,Freehold
99,1,0,680,519,5882,0,23,8,3.99976,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,1,0,Freehold
100,7,0,880,671,9091,0,23,7,8.00008,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
101,5,0,1190,908,9244,0,23,5,11.00036,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Apartment,Thane,3,0,3,2,Freehold
102,7,0,870,664,6897,0,23,7,6.00039,Ready to Move,Marble,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
103,1,0,650,496,8461,2,23,4,5.49965,Ready to Move,Normal Tiles/Kotah Stone,N,Semi-Furnished,East,Resale,Builder Floor Apartment,Thane,1,0,2,1,Co-operative Society
104,3,1,595,454,13782,0,23,21,8.20029,Under Construction,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
105,2,0,490,374,5306,0,23,5,2.59994,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
106,1,0,985,752,7309,0,23,7,7.199365,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,2,2,Co-operative Society
107,15,0,1130,862,7522,0,23,24,8.49986,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Apartment,Thane,2,0,2,2,Freehold
108,2,0,1000,640,7300,2,36,8,7.3,Ready to Move,Vitrified,N,Furnished,North,Resale,Apartment,Thane,2,0,2,1,Freehold
109,16,0,700,534,15714,0,23,28,10.9998,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
110,3,0,1600,1221,9375,0,23,3,15.0,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Residential House,Thane,2,0,2,1,Freehold
111,18,0,695,530,8058,0,23,22,5.60031,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Apartment,Thane,2,0,1,1,Freehold
112,2,0,1010,771,7129,4,23,8,7.20029,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,3,Co-operative Society
113,3,0,490,374,8163,0,23,5,3.99987,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
114,15,0,577,440,6412,0,23,15,3.699724,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
115,4,0,580,442,6034,0,23,7,3.49972,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,2,Freehold
116,4,0,550,385,4364,0,30,4,2.4002,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,2,Freehold
117,3,0,640,475,6250,2,25,4,4.0,Ready to Move,Vitrified,N,Semi-Furnished,South - East,Resale,Apartment,Thane,1,0,1,0,Freehold
118,3,0,700,534,9000,0,23,3,6.3,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,2,1,Freehold
119,12,0,990,755,7576,12,23,13,7.50024,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,1,2,0,Freehold
120,6,0,500,381,6600,10,23,8,3.3,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,1,1,0,Freehold
121,3,1,569,461,6800000,9,19,22,6.8,Under Construction,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
122,8,0,927,707,5933,21,23,33,5.499891,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,1,2,2,Freehold
123,4,0,600,458,9167,20,23,14,5.5002,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,1,1,1,Freehold
124,0,0,430,328,6279,90,23,5,2.69997,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,1,1,1,2,Freehold
125,1,1,855,652,5263,8,23,3,4.499865,Ready to Move,Vitrified,N,Furnished,West,Resale,Apartment,Thane,2,0,2,2,Leasehold
126,1,0,645,492,6977,15,23,8,4.500165,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,1,1,0,Freehold
127,5,1,834,675,7500000,90,19,22,7.5,Under Construction,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,1,2,2,Freehold
128,9,0,607,463,6260,8,23,15,3.79982,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,2,Freehold
129,3,0,950,725,6842,20,23,8,6.4999,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,2,Freehold
130,1,1,603,460,4478,9,23,4,2.700234,Ready to Move,Ceramic Tiles,N,Unfurnished,East,New Property,Apartment,Thane,1,0,1,1,Freehold
131,18,0,1080,824,6018,25,23,29,6.49944,Ready to Move,Vitrified,N,Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
132,6,0,580,442,5862,15,23,7,3.39996,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,1,1,1,1,Freehold
133,6,0,950,650,7263,9,31,15,6.89985,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,3,Freehold
134,2,0,927,707,6796,90,23,18,6.299892,Ready to Move,Marbonite,N,Unfurnished,North - East,Resale,Apartment,Thane,1,1,2,1,Co-operative Society
135,4,1,530,429,2000000,90,19,4,2.0,Ready to Move,Vitrified,N,Unfurnished,North,Resale,Apartment,Thane,1,1,1,1,Power Of Attorney
136,15,0,1475,885,8813,90,40,23,12.999175,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,3,1,3,2,Freehold
137,4,0,585,383,4877,0,34,7,2.853045,Ready to Move,Vitrified,Y,Unfurnished,Unknown,New Property,Apartment,Thane,1,0,1,1,Freehold
138,5,0,550,420,6273,20,23,15,3.45015,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,1,2,Freehold
139,5,1,520,400,6731,90,23,14,3.50012,Under Construction,Marble,N,Furnished,South - East,Resale,Apartment,Thane,1,1,1,1,Power Of Attorney
140,6,0,1115,851,17937,12,23,8,19.999755,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,3,1,4,0,Freehold
141,9,0,1017,776,7375,8,23,15,7.500375,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
142,0,0,750,572,6667,90,23,3,5.00025,Ready to Move,Ceramic Tiles,N,Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
143,6,0,850,649,7647,90,23,8,6.49995,Ready to Move,Vitrified,N,Semi-Furnished,West,Resale,Apartment,Thane,2,1,2,1,Co-operative Society
144,6,0,600,480,6667,21,20,7,4.0002,Ready to Move,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,1,1,1,2,Freehold
145,7,0,750,694,6267,89,7,7,4.70025,Ready to Move,Vitrified,N,Semi-Furnished,North - West,Resale,Apartment,Thane,1,1,1,2,Co-operative Society
146,4,1,608,466,5921,13,23,4,3.599968,Ready to Move,Vitrified,N,Unfurnished,West,Resale,Apartment,Thane,1,0,1,1,Freehold
147,1,0,1175,1000,5106,7,14,5,5.99955,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,1,2,2,Freehold
148,5,0,1240,946,10081,90,23,7,12.50044,Ready to Move,Marbonite,N,Furnished,East,Resale,Apartment,Thane,4,1,3,4,Co-operative Society
149,15,1,690,491,7970,12,28,15,5.4993,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,1,2,Freehold
150,1,1,851,548,5875,89,35,9,4.999625,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,3,Freehold
151,6,0,960,648,5417,89,32,7,5.20032,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Thane,2,1,2,2,Freehold
152,1,0,1300,1063,10385,3,18,7,13.5005,Ready to Move,Vitrified,N,Semi-Furnished,North - East,Resale,Apartment,Thane,2,0,3,1,Freehold
153,2,0,1000,650,8500,4,35,7,8.5,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,2,Freehold
154,2,1,1200,700,5000,89,41,12,6.0,Ready to Move,Vitrified,N,Semi-Furnished,North - West,Resale,Apartment,Thane,2,1,2,1,Freehold
155,2,0,985,638,7918,13,35,10,7.79923,Ready to Move,Vitrified,N,Furnished,East,Resale,Builder Floor Apartment,Thane,2,0,2,3,Freehold
156,13,1,927,612,5933,20,33,24,5.499891,Ready to Move,Ceramic Tiles,N,Unfurnished,North - East,Resale,Apartment,Thane,1,1,2,1,Freehold
157,5,45,650,450,5384,90,30,15,3.4996,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
158,10,79,650,450,6000,90,30,23,3.9,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
159,19,20,650,408,5651,90,37,26,3.67315,Under Construction,Ceramic Tiles,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
160,9,1,875,675,10080,89,22,26,8.82,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
161,27,3,674,421,6778,90,37,35,4.568372,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,1,1,Freehold
162,16,2,630,405,5952,90,35,24,3.74976,Ready to Move,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,1,1,1,3,Freehold
163,5,0,970,670,5979,90,30,9,5.79963,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,2,Freehold
164,2,0,600,425,7666,90,29,7,4.5996,Ready to Move,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,1,1,1,2,Freehold
165,15,20,803,502,6536,90,37,22,5.248408,Under Construction,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
166,12,100,550,367,9631,90,33,31,5.29705,Under Construction,Vitrified,Y,Unfurnished,North,New Property,Apartment,Thane,2,1,1,1,Freehold
167,10,25,550,370,5800,90,32,30,3.19,Under Construction,Vitrified,Y,Furnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
168,8,50,727,423,5020,90,41,17,3.64954,Under Construction,Ceramic Tiles,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,3,Freehold
169,7,0,650,496,6615,89,23,7,4.29975,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Thane,1,1,1,1,Freehold
170,10,25,850,570,4694,90,32,30,3.9899,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Thane,2,1,2,3,Freehold
171,2,0,675,515,5926,7,23,7,4.00005,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
172,2,1,595,450,3675,7,24,3,2.186625,Ready to Move,Vitrified,Y,Unfurnished,North - East,New Property,Apartment,Thane,1,1,1,1,Freehold
173,6,0,890,585,7865,89,34,12,6.99985,Ready to Move,Vitrified,N,Furnished,North - East,Resale,Apartment,Thane,2,1,2,3,Freehold
174,0,1,655,530,6000000,90,19,5,6.0,Ready to Move,Vitrified,N,Unfurnished,North - East,Resale,Apartment,Thane,1,1,1,1,Co-operative Society
175,26,0,1050,675,8095,90,35,31,8.49975,Under Construction,Ceramic Tiles,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
176,5,60,627,483,7814,90,22,10,4.899378,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,1,2,Freehold
177,4,0,540,470,7037,4,12,5,3.79998,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
178,17,0,556,450,5600000,89,19,22,5.6,Ready to Move,Vitrified,N,Semi-Furnished,North - East,Resale,Apartment,Thane,2,1,1,2,Power Of Attorney
179,10,650,520,393,7308,89,24,14,3.80016,Under Construction,Vitrified,N,Unfurnished,East,New Property,Apartment,Thane,2,1,1,1,Freehold
