Unnamed: 0,Floor No,Units Available,Covered Area,Carpet Area,Sqft Price,Total Amenities,Area Difference (%),Floors,Price_Millions,Possession Status,Flooring Type,Society,Furnished Type,Facing,Transaction Type,Type of Property,City,Bathroom,Parking,Bedroom,Balconies,Ownership Type
2917,3,1,945,650,4762,0,31,7,4.50009,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Residential House,Mumbai,2,0,2,2,Freehold
2918,4,1,500,325,5600,3,35,4,2.8,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Mumbai,1,0,1,0,Freehold
2919,2,0,525,400,4762,10,23,5,2.50005,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Builder Floor Apartment,Mumbai,1,0,1,1,Freehold
2920,15,1,672,468,6696,89,30,22,4.499712,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
2921,10,0,625,393,9170,90,37,22,5.73125,Under Construction,Vitrified,N,Semi-Furnished,West,New Property,Apartment,Mumbai,1,1,1,3,Freehold
2922,3,0,590,450,4576,0,23,7,2.69984,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Mumbai,1,0,1,2,Freehold
2923,1,1,600,400,5833,90,33,7,3.4998,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Mumbai,1,1,1,1,Leasehold
2924,3,0,190,145,11579,0,23,4,2.20001,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Mumbai,1,0,1,1,Freehold
2925,5,0,520,472,7077,0,9,23,3.68004,Under Construction,Vitrified,Y,Semi-Furnished,Unknown,Resale,Apartment,Mumbai,1,0,1,1,Freehold
2926,14,0,1020,682,5500,0,33,18,5.61,Under Construction,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Mumbai,2,0,2,3,Freehold
2927,4,0,510,365,5294,0,28,4,2.69994,Ready to Move,Vitrified,Y,Semi-Furnished,East,Resale,Apartment,Mumbai,1,0,1,1,Freehold
2928,4,1,500,325,5800,3,35,4,2.9,Ready to Move,Ceramic Tiles,N,Unfurnished,North - East,Resale,Apartment,Mumbai,1,0,1,0,Co-operative Society
2929,4,0,855,652,5322,0,23,7,4.55031,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Mumbai,2,0,2,2,Freehold
2930,3,1,600,380,4500,90,36,4,2.7,Ready to Move,Ceramic Tiles,N,Unfurnished,East,Resale,Apartment,Mumbai,1,1,1,1,Freehold
2931,2,0,420,320,6785,90,23,7,2.8497,Ready to Move,Ceramic Tiles,N,Semi-Furnished,North - East,Resale,Apartment,Mumbai,1,1,1,1,Co-operative Society
2932,3,0,550,450,4910,0,18,4,2.7005,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,1,0,1,1,Freehold
2933,0,0,735,561,6667,0,23,4,4.900245,Ready to Move,Ceramic Tiles,N,Semi-Furnished,East,Resale,Builder Floor Apartment,Mumbai,2,0,2,1,Co-operative Society
2934,7,0,640,488,6250,0,23,8,4.0,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Mumbai,1,0,1,1,Freehold
2935,7,1,565,393,6195,4,30,7,3.500175,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Mumbai,2,1,1,1,Freehold
2936,1,0,2000,1200,9000,0,40,2,18.0,Ready to Move,Vitrified,N,Furnished,Unknown,Resale,Residential House,Mumbai,4,0,4,1,Freehold
2937,3,0,535,408,7103,90,23,3,3.800105,Ready to Move,Marble,N,Furnished,East,Resale,Apartment,Mumbai,1,1,1,1,Freehold
2938,0,0,1400,1500,4286,0,-7,14,6.0004,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Villa,Mumbai,3,0,3,1,Freehold
2939,3,0,750,572,8000,0,23,3,6.0,Ready to Move,Vitrified,N,Unfurnished,Unknown,New Property,Villa,Mumbai,2,0,2,1,Freehold
2940,7,5,1150,795,6521,90,30,23,7.49915,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,3,1,3,3,Co-operative Society
2941,10,15,625,425,6400,90,32,23,4.0,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
2942,6,0,761,616,3800000,3,19,6,3.8,Ready to Move,Vitrified,Y,Unfurnished,East,Resale,Apartment,Mumbai,1,0,1,3,Freehold
2943,3,0,1300,961,6923,9,26,3,8.9999,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Mumbai,2,0,3,1,Freehold
2944,7,0,725,490,6207,0,32,7,4.500075,Ready to Move,Vitrified,Y,Furnished,Unknown,Resale,Apartment,Mumbai,2,0,1,2,Freehold
2945,1,0,850,595,4824,4,30,4,4.1004,Ready to Move,Vitrified,N,Furnished,North - West,Resale,Apartment,Mumbai,1,0,2,2,Freehold
2946,3,0,810,618,5062,0,23,3,4.10022,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Builder Floor Apartment,Mumbai,1,0,2,1,Freehold
2947,3,0,1025,900,7805,1,12,3,8.000125,Ready to Move,Vitrified,Y,Semi-Furnished,East,Resale,Apartment,Mumbai,3,0,3,1,Freehold
2948,4,0,340,259,5882,17,23,4,1.99988,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Mumbai,1,1,1,2,Freehold
2949,5,0,610,465,4754,32,23,8,2.89994,Ready to Move,Vitrified,N,Unfurnished,Unknown,Resale,Apartment,Mumbai,1,1,1,3,Freehold
2950,9,1,550,419,6727,19,23,22,3.69985,Under Construction,Vitrified,N,Furnished,Unknown,Resale,Apartment,Mumbai,2,1,1,3,Freehold
2951,5,1,670,430,5970,90,35,17,3.9999,Under Construction,Vitrified,N,Semi-Furnished,North,Resale,Apartment,Mumbai,2,1,1,2,Freehold
2952,17,15,950,639,6263,13,32,18,5.94985,Under Construction,Vitrified,N,Semi-Furnished,East,New Property,Apartment,Mumbai,2,1,2,3,Freehold
2953,10,2,1490,1033,5705,5,30,12,8.50045,Ready to Move,Vitrified,Y,Semi-Furnished,East,Resale,Apartment,Mumbai,4,0,3,5,Freehold
2954,4,0,540,412,7407,7,23,7,3.99978,Ready to Move,Ceramic Tiles,N,Unfurnished,East,New Property,Residential House,Mumbai,1,0,1,1,Co-operative Society
2955,7,1,625,477,5512,23,23,7,3.445,Ready to Move,Ceramic Tiles,Y,Semi-Furnished,East,Resale,Apartment,Mumbai,1,1,1,2,Freehold
2956,2,0,520,360,4444,90,30,7,2.31088,Ready to Move,Vitrified,Y,Unfurnished,East,Resale,Apartment,Mumbai,1,1,1,1,Freehold
2957,2,8,910,780,12315,89,14,23,11.20665,Under Construction,Normal Tiles/Kotah Stone,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,3,2,Freehold
2958,2,0,570,390,5526,8,31,9,3.14982,Ready to Move,Vitrified,Y,Semi-Furnished,North - West,Resale,Apartment,Mumbai,1,0,1,3,Freehold
2959,2,0,350,350,10000,7,0,7,3.5,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Mumbai,2,0,1,2,Freehold
2960,2,0,550,370,5091,3,32,7,2.80005,Ready to Move,Vitrified,Y,Unfurnished,East,Resale,Apartment,Mumbai,1,0,1,2,Freehold
2961,14,100,745,428,5197,8,42,14,3.871765,Under Construction,Ceramic Tiles,Y,Unfurnished,North - West,Resale,Apartment,Mumbai,2,1,1,2,Freehold
2962,1,0,780,595,7692,10,23,3,5.99976,Ready to Move,Vitrified,N,Unfurnished,West,Resale,Builder Floor Apartment,Mumbai,2,0,2,1,Co-operative Society
2963,6,0,725,498,4828,8,31,7,3.5003,Ready to Move,Vitrified,Y,Semi-Furnished,East,Resale,Apartment,Mumbai,2,0,2,3,Freehold
2964,7,0,605,455,5785,89,24,12,3.499925,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
2965,4,0,700,550,5000,89,21,4,3.5,Ready to Move,Vitrified,Y,Furnished,North - West,Resale,Apartment,Mumbai,1,1,1,1,Freehold
2966,0,100,150,114,1250,6,23,1,0.1875,Ready to Move,Normal Tiles/Kotah Stone,N,Semi-Furnished,East,Resale,Residential House,Mumbai,1,0,1,1,Freehold
2967,4,1,822,665,4100000,19,19,7,4.1,Ready to Move,Ceramic Tiles,N,Unfurnished,North - East,Resale,Apartment,Mumbai,2,1,1,3,Freehold
2968,3,0,540,412,4815,3,23,5,2.6001,Ready to Move,Vitrified,N,Unfurnished,South -West,Resale,Apartment,Mumbai,1,0,1,1,Co-operative Society
2969,4,0,595,454,6891,9,23,7,4.100145,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Mumbai,1,0,1,3,Freehold
2970,6,0,1100,890,6000000,3,19,7,6.0,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Mumbai,2,0,2,1,Co-operative Society
2971,0,0,750,572,4667,6,23,7,3.50025,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Apartment,Mumbai,2,1,2,2,Freehold
2972,8,0,695,495,5500,14,28,18,3.8225,Under Construction,Vitrified,Y,Unfurnished,North - East,Resale,Apartment,Mumbai,2,1,1,3,Freehold
2973,13,0,660,460,6061,13,30,14,4.00026,Ready to Move,Vitrified,Y,Semi-Furnished,East,Resale,Apartment,Mumbai,1,0,1,3,Co-operative Society
2974,1,0,880,550,6250,9,37,4,5.5,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Mumbai,1,0,2,1,Freehold
2975,0,1,850,650,4471,14,23,8,3.80035,Ready to Move,Ceramic Tiles,N,Semi-Furnished,East,Resale,Apartment,Mumbai,2,1,3,1,Freehold
2976,4,0,850,605,5882,8,28,7,4.9997,Ready to Move,Ceramic Tiles,N,Unfurnished,East,Resale,Apartment,Mumbai,2,0,2,3,Co-operative Society
2977,4,0,789,602,5196,89,23,4,4.099644,Ready to Move,Ceramic Tiles,N,Semi-Furnished,East,Resale,Apartment,Mumbai,2,1,2,3,Co-operative Society
2978,12,25,400,247,5500,90,38,22,2.2,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,1,2,Freehold
2979,1,1,2900,1550,4828,89,46,7,14.0012,Ready to Move,Vitrified,N,Unfurnished,West,Resale,Apartment,Mumbai,3,1,3,1,Freehold
2980,4,0,610,400,4221,90,34,7,2.57481,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Mumbai,2,1,1,3,Freehold
2981,2,0,850,610,6000,90,28,4,5.1,Ready to Move,Ceramic Tiles,N,Unfurnished,South,Resale,Apartment,Mumbai,3,1,2,2,Freehold
2982,3,1,1250,900,5200,8,28,3,6.5,Ready to Move,Normal Tiles/Kotah Stone,Y,Semi-Furnished,North - East,Resale,Residential House,Mumbai,3,1,2,1,Co-operative Society
2983,7,0,494,400,3425000,8,19,14,3.425,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Mumbai,2,1,1,3,Freehold
2984,5,0,592,452,6419,7,23,7,3.800048,Ready to Move,Vitrified,N,Unfurnished,North - West,Resale,Apartment,Mumbai,2,0,1,3,Co-operative Society
2985,0,0,660,503,5606,8,23,14,3.69996,Ready to Move,Vitrified,Y,Unfurnished,East,Resale,Apartment,Mumbai,2,1,1,3,Co-operative Society
2986,3,0,820,600,5122,10,26,3,4.20004,Ready to Move,Vitrified,Y,Unfurnished,East,Resale,Apartment,Mumbai,2,0,2,2,Co-operative Society
2987,4,0,1030,890,5049,7,13,4,5.20047,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Mumbai,2,1,2,1,Co-operative Society
2988,0,0,520,397,7308,7,23,5,3.80016,Ready to Move,Mosaic,N,Furnished,West,Resale,Builder Floor Apartment,Mumbai,1,0,1,1,Freehold
2989,3,0,690,526,5362,17,23,7,3.69978,Ready to Move,Vitrified,Y,Semi-Furnished,South - East,Resale,Apartment,Mumbai,2,0,2,3,Co-operative Society
2990,7,0,575,439,6087,13,23,7,3.500025,Ready to Move,Ceramic Tiles,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,0,1,1,Freehold
2991,2,0,1175,976,10639,15,16,7,12.500825,Ready to Move,Ceramic Tiles,N,Furnished,South - East,Resale,Apartment,Mumbai,3,1,3,1,Co-operative Society
2992,2,7,925,706,5405,10,23,7,4.999625,Ready to Move,Vitrified,N,Semi-Furnished,Unknown,Resale,Residential House,Mumbai,2,1,3,3,Freehold
2993,15,15,625,410,5920,90,34,23,3.7,Under Construction,Normal Tiles/Kotah Stone,Y,Unfurnished,East,Resale,Apartment,Mumbai,3,1,1,3,Freehold
2994,5,0,745,468,5706,90,37,23,4.25097,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
2995,10,25,580,442,9009,90,23,23,5.22522,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,2,3,Freehold
2996,3,5,735,452,5578,90,38,22,4.09983,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
2997,6,0,610,400,5081,89,34,14,3.09941,Ready to Move,Ceramic Tiles,Y,Semi-Furnished,Unknown,Resale,Apartment,Mumbai,1,1,1,2,Freehold
2998,7,5,696,464,5531,90,33,21,3.849576,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,1,1,1,3,Freehold
2999,5,0,470,410,7978,90,12,9,3.74966,Under Construction,Ceramic Tiles,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,1,1,Freehold
3000,15,0,450,375,6556,90,16,23,2.9502,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,1,1,1,1,Leasehold
3001,5,2,956,576,5753,90,39,7,5.499868,Ready to Move,Normal Tiles/Kotah Stone,Y,Unfurnished,East,Resale,Apartment,Mumbai,2,1,2,1,Freehold
3002,4,1,650,365,4615,89,43,7,2.99975,Ready to Move,Vitrified,Y,Unfurnished,East,Resale,Apartment,Mumbai,2,1,1,3,Freehold
3003,3,0,625,500,5120,90,20,3,3.2,Ready to Move,Vitrified,N,Unfurnished,East,Resale,Apartment,Mumbai,2,1,1,3,Freehold
3004,8,20,558,452,3990000,90,19,23,3.99,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,1,1,1,3,Freehold
3005,6,15,720,430,5000,90,40,23,3.6,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
3006,7,0,825,600,7030,90,27,7,5.79975,Ready to Move,Vitrified,Y,Furnished,West,Resale,Apartment,Mumbai,2,1,2,4,Freehold
3007,11,0,590,390,4521,90,33,22,2.66739,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,1,2,Freehold
3008,4,0,550,390,5129,90,29,15,2.82095,Under Construction,Granite,Y,Semi-Furnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
3009,11,20,924,600,6493,89,35,23,5.999532,Under Construction,Vitrified,Y,Semi-Furnished,West,New Property,Apartment,Mumbai,2,1,2,2,Freehold
3010,11,9,700,450,5427,90,35,23,3.7989,Under Construction,Ceramic Tiles,N,Semi-Furnished,North - West,New Property,Apartment,Mumbai,2,1,1,3,Freehold
3011,9,6,625,365,4500,90,41,23,2.8125,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
3012,3,0,630,550,5079,10,12,3,3.19977,Ready to Move,Vitrified,N,Semi-Furnished,East,Resale,Apartment,Mumbai,2,0,1,2,Co-operative Society
3013,9,12,673,468,7429,90,30,22,4.999717,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
3014,9,12,450,375,6444,90,16,22,2.8998,Under Construction,Vitrified,Y,Unfurnished,East,New Property,Apartment,Mumbai,2,1,1,2,Freehold
3015,9,0,720,378,4486,89,47,14,3.22992,Under Construction,Vitrified,Y,Semi-Furnished,East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
3016,12,9,700,450,7500,90,35,23,5.25,Ready to Move,Ceramic Tiles,N,Semi-Furnished,North - East,New Property,Apartment,Mumbai,2,1,1,3,Freehold
3017,3,2,700,534,10000,90,23,7,7.0,Ready to Move,Vitrified,N,Furnished,North - East,Resale,Apartment,Mumbai,2,1,2,2,Freehold
3018,20,12,714,714,18207,90,0,42,12.999798,Under Construction,Vitrified,N,Unfurnished,North - West,New Property,Apartment,Thane,2,1,2,1,Freehold
3019,30,2,551,446,11500000,0,19,30,11.5,Under Construction,Vitrified,N,Unfurnished,Unknown,New Property,Apartment,Thane,2,0,1,1,Freehold
3020,30,2,865,700,22500000,0,19,30,22.5,Under Construction,Vitrified,N,Unfurnished,Unknown,New Property,Apartment,Thane,2,0,2,1,Freehold
3021,1,1,1174,950,25100000,0,19,1,25.1,Ready to Move,Vitrified,N,Unfurnished,Unknown,New Property,Apartment,Thane,3,0,3,1,Freehold
3022,1,1,692,560,11800000,0,19,1,11.8,Ready to Move,Vitrified,N,Unfurnished,Unknown,New Property,Apartment,Thane,2,0,2,1,Freehold
3023,10,10,1476,923,9823,90,37,29,14.498748,Under Construction,Vitrified,Y,Unfurnished,North,New Property,Apartment,Thane,3,1,3,1,Freehold
3024,13,2,1170,720,12393,90,38,24,14.49981,Ready to Move,Ceramic Tiles,N,Semi-Furnished,East,Resale,Apartment,Thane,2,1,2,1,Freehold
3025,14,8,880,661,11990,90,24,30,10.5512,Under Construction,Ceramic Tiles,N,Semi-Furnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
3026,27,18,650,418,10615,90,35,52,6.89975,Under Construction,Ceramic Tiles,N,Semi-Furnished,North - East,New Property,Apartment,Thane,2,1,1,1,Freehold
3027,10,5,750,470,10000,89,37,30,7.5,Under Construction,Vitrified,Y,Unfurnished,North - West,New Property,Apartment,Thane,2,1,1,1,Freehold
3028,10,1,1065,671,10704,89,36,30,11.39976,Ready to Move,Marble,Y,Unfurnished,North - East,New Property,Apartment,Thane,2,1,2,1,Freehold
3029,2,0,825,535,19393,89,35,2,15.999225,Ready to Move,Marble,N,Semi-Furnished,North - East,Resale,Apartment,Thane,2,1,2,2,Freehold
3030,9,4,746,746,16227,90,0,30,12.105342,Ready to Move,Granite,Y,Semi-Furnished,East,New Property,Apartment,Thane,2,1,2,1,Freehold
3031,6,5,3000,1800,19000,90,40,30,13.4999095,Ready to Move,Marble,Y,Unfurnished,North - East,New Property,Apartment,Thane,4,1,4,2,Freehold
3032,21,2,855,685,19298,90,19,29,16.49979,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,2,Freehold
3033,5,0,902,688,210643,0,23,7,13.4999095,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
3034,4,0,480,366,4583,0,23,7,2.19984,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,3,Freehold
3035,12,0,700,534,1786,0,23,21,1.2502,Ready to Move,Vitrified,Y,Semi-Furnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
3036,0,0,415,316,1807,0,23,1,0.749905,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Residential House,Thane,1,0,1,1,Freehold
3037,3,0,550,419,7545,0,23,5,4.14975,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
3038,1,0,670,620,4478,0,7,4,3.00026,Ready to Move,Vitrified,Y,Semi-Furnished,East,Resale,Apartment,Thane,1,0,1,1,Freehold
3039,2,0,700,576,5714,0,17,28,3.9998,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,2,Freehold
3040,4,0,850,649,10000,0,23,7,8.5,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Thane,2,0,2,1,Freehold
3041,4,0,450,343,4000,0,23,5,1.8,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
3042,1,0,380,350,10526,0,7,6,3.99988,Ready to Move,Vitrified,Y,Semi-Furnished,East,Resale,Apartment,Thane,1,0,1,1,Freehold
3043,0,0,816,623,4289,90,23,5,3.499824,Ready to Move,Ceramic Tiles,Y,Semi-Furnished,North,Resale,Apartment,Thane,2,1,2,1,Freehold
3044,5,0,1290,769,11628,90,40,33,15.00012,Ready to Move,Vitrified,Y,Unfurnished,East,New Property,Apartment,Thane,2,1,2,2,Freehold
3045,7,1,500,310,7400,10,38,7,3.7,Ready to Move,Vitrified,Y,Unfurnished,Unknown,Resale,Apartment,Thane,1,0,1,1,Freehold
3046,50,1,6000,4581,12500,89,23,50,13.4999095,Ready to Move,Marble,Y,Unfurnished,East,Resale,Apartment,Thane,7,1,6,6,Freehold
3047,28,3,1151,931,23000000,22,19,31,23.0,Under Construction,Vitrified,Y,Unfurnished,East,Resale,Apartment,Thane,3,1,3,3,Freehold
